tag,date,tabus,chances,resets,distance,cmax,time
Move Tabulist,2006-11-26 23:56:29,80,110,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:29,80,120,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,90,80,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,90,90,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,90,100,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,90,110,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,90,120,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,100,80,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,100,90,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:30,100,100,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:31,100,110,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:31,100,120,1,5,1797,0.03
Move Tabulist,2006-11-26 23:56:31,110,80,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:31,110,90,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:31,110,100,1,5,1797,0.03
Move Tabulist,2006-11-26 23:56:31,110,110,1,5,1797,0.03
Move Tabulist,2006-11-26 23:56:31,110,120,1,5,1797,0.03
Move Tabulist,2006-11-26 23:56:31,120,80,1,5,1797,0.02
Move Tabulist,2006-11-26 23:56:32,120,90,1,5,1797,0.03
Move Tabulist,2006-11-26 23:56:32,120,100,1,5,1797,0.03
Move Tabulist,2006-11-26 23:56:32,120,110,1,5,1774,0.03
Move Tabulist,2006-11-26 23:56:32,120,120,1,5,1774,0.04
Move Tabulist,2006-11-27 00:52:45,70,70,1,1,1969,0.00
Move Tabulist,2006-11-27 00:52:45,70,130,1,1,1875,0.00
Move Tabulist,2006-11-27 00:52:45,130,70,1,1,1875,0.00
Move Tabulist,2006-11-27 00:52:45,130,130,1,1,1875,0.00
Move Tabulist,2006-11-27 00:52:45,70,70,1,3,1842,0.00
Move Tabulist,2006-11-27 00:52:45,70,130,1,3,1803,0.00
Move Tabulist,2006-11-27 00:52:46,130,70,1,3,1738,0.00
Move Tabulist,2006-11-27 00:52:46,130,130,1,3,1723,0.01
Move Tabulist,2006-11-27 00:52:46,70,70,1,5,1797,0.01
Move Tabulist,2006-11-27 00:52:46,70,130,1,5,1797,0.02
Move Tabulist,2006-11-27 00:52:46,130,70,1,5,1797,0.02
Move Tabulist,2006-11-27 00:52:46,130,130,1,5,1797,0.03
